sample_id,collection_date,dilution,name,site_name,sewershed_pop,RSV_num_wells,RSV_gc_g_dry_weight,RSV_gc_g_dry_weight_lci,RSV_gc_g_dry_weight_uci,RSV_gc_g_dry_weight_pmmov,RSV_gc_g_dry_weight_pmmov_lci,RSV_gc_g_dry_weight_pmmov_uci,RSV_gc_g_dry_weight_trimmed5,RSV_gc_g_dry_weight_trimmed5_pmmov
"146-221212","2022-12-12",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,20790.561555268814,16962.59795956989,24961.1987888172,0.00007822242670845191,0.000060281854998772046,0.00009616299841813177,13881.713977777776,0.00007822242670845191
"146-221214","2022-12-14",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,13881.713977777776,11384.329033333333,16725.165977777775,0.00010693281429767796,0.0000708057007085232,0.00014305992788683273,13512.083694468285,0.00007146364526955199
"146-221216","2022-12-16",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,9629.043530864197,6721.177219753086,12416.780730864197,0.000047281922573955867,0.000026489245467321867,0.00006807459968058987,14588.491353552845,0.00007732150541948202
"146-221219","2022-12-19",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,13142.453411158796,10220.468298712445,16250.906414878395,0.00006470486383065207,0.00004235932524218762,0.0000870504024191165,12217.736973266923,0.00006700800404131669
"146-221221","2022-12-21",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,16741.306671721963,13918.715440126382,19922.144980726698,0.00008903722571934211,0.00005039882192553867,0.00012767562951314555,13170.934537914984,0.00006700800404131669
"146-221223","2022-12-23",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,6264.571068852459,3924.9721553369764,9062.509068123862,0.000024204153749975778,0.000011244305963197841,0.000037164001536753714,12716.867945353019,0.0000707638007900463
"146-221226","2022-12-26",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,30876.52663266219,26368.584941387024,35871.50147293065,0.00011367092020170016,0.00008833747529180374,0.00013900436511159658,10547.329012036565,0.00005925154889773146
"146-221227","2022-12-27",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,8266.843753178295,6368.982330542634,10508.910630697674,0.00005854931282014469,0.00002446797265785356,0.00009263065298243582,7055.083811080064,0.00003764052490794268
"146-221228","2022-12-28",1,"Boston, MA","Deer Island Treatment Plant",2400000,3,6633.836611209439,4418.99517640118,9488.526348082596,0.000030168108153707578,0.000016407741575740696,0.00004392847473167446,8125.445434361684,0.00004338980589903255
"146-230102","2023-01-02",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,3433.0234868468465,1716.6702598918919,5285.11184836036,0.00001670856419189219,0.000007198887868648792,0.000026218240515135588,6377.373059260109,0.000030012288813450918
"146-230104","2023-01-04",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,9475.655938697319,7234.867046743294,12137.909045210728,0.00004145199672324538,0.000025979697126992712,0.00005692429631949805,6780.310454433117,0.00002529459634168727
"146-230106","2023-01-06",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,4231.438813392592,2584.423135762963,6101.765101037037,0.000018416761563399783,0.000008995309368363502,0.000027838213758436065,8512.991535545121,0.0000290558925315332
"146-230109","2023-01-09",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,11831.879854545454,9259.603477979796,14842.071919191916,0.00002729891930795444,0.000019106709498305708,0.00003549112911760317,13645.278643969812,0.00004692815050832381
"146-230111","2023-01-11",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,29849.5894054054,24034.31754954955,35121.79744144144,0.00011135312974304445,0.00008628949424247275,0.00013641676524361613,13050.186735632886,0.00004070298031002993
"146-230113","2023-01-13",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,19628.300138666666,15966.878464000001,23811.293710222224,0.00007203353549377162,0.0000546703914901586,0.00008939667949738464,16231.523052602408,0.0000537961887171956
"146-230116","2023-01-16",1,"Boston, MA","Deer Island Treatment Plant",2400000,6,7690.380213686534,5451.526073642383,10974.02719646799,0.00002277648612836373,0.000011848308179016038,0.00003370466407771142,14851.023172316103,0.000052288710990665375
