sample_id,collection_date,dilution,name,site_name,sewershed_pop,N_Gene_num_wells,N_Gene_gc_g_dry_weight,N_Gene_gc_g_dry_weight_lci,N_Gene_gc_g_dry_weight_uci,N_Gene_gc_g_dry_weight_pmmov,N_Gene_gc_g_dry_weight_pmmov_lci,N_Gene_gc_g_dry_weight_pmmov_uci,N_Gene_gc_g_dry_weight_trimmed5,N_Gene_gc_g_dry_weight_trimmed5_pmmov
"88-220919","2022-09-19",1,"Portland, ME","Portland Water District (East End Wastewater Treatment Facility)",65000,5,213691.9498333333,191776.85183333335,235991.37866666666,0.0009169762280394579,0.0007711609963251606,0.001062791459753755,232418.27560424735,0.0007129332062961678
"88-220921","2022-09-21",1,"Portland, ME","Portland Water District (East End Wastewater Treatment Facility)",65000,6,326749.2453333333,308281.60711111105,345219.53266666667,0.0004642704742075369,0.00036031741372129277,0.0005682235346937811,281389.865174074,0.0009944457773710628
"88-220926","2022-09-26",1,"Portland, ME","Portland Water District (East End Wastewater Treatment Facility)",65000,5,303728.4003555556,284153.97362962965,322917.2318222223,0.0015060048084283863,0.0013617229098864922,0.0016502867069702804,355006.9988441823,0.0012794570958805623
"88-220928","2022-09-28",1,"Portland, ME","Portland Water District (East End Wastewater Treatment Facility)",65000,5,434543.35084365786,400538.4867492625,471799.50725663715,0.0014153902511738427,0.0011477089189214588,0.0016830715834262266,419613.7762797076,0.0012212535417840912
"88-220930","2022-09-30",1,"Portland, ME","Portland Water District (East End Wastewater Treatment Facility)",65000,6,497548.7326621315,467541.61465759634,526689.1099138322,0.0025930560231061453,0.0023518793444617715,0.002834232701750519,485886.0983666641,0.0013116488371923082
"88-221003","2022-10-03",1,"Portland, ME","Portland Water District (East End Wastewater Treatment Facility)",65000,6,644920.8319999998,599370.3850126582,695632.4195105485,0.0007423655657500446,0.0006433071511114254,0.0008414239803886638,485886.0983666641,0.0012493740355899203
"88-221005","2022-10-05",1,"Portland, ME","Portland Water District (East End Wastewater Treatment Facility)",65000,6,525566.2115942029,500527.6445217391,558039.4026666667,0.0010135514519746959,0.0009233359561217747,0.001103766947827617,479099.03085793153,0.0010250324737819878
"88-221007","2022-10-07",1,"Portland, ME","Portland Water District (East End Wastewater Treatment Facility)",65000,3,414182.14831746026,361182.96465608466,472372.1458624339,0.0013191804036212227,0.0010506035366592392,0.0015877572705832062,475061.0076568288,0.0010250324737819878
"88-221009","2022-10-09",1,"Portland, ME","Portland Water District (East End Wastewater Treatment Facility)",65000,6,198130.16253333335,176231.20946666665,218779.0076,0.0006531996345796829,0.000556180294141856,0.0007502189750175097,475061.0076568288,0.0012595077060716185
"88-221011","2022-10-11",1,"Portland, ME","Portland Water District (East End Wastewater Treatment Facility)",65000,6,485434.66305882344,457821.3411764706,513052.1736470587,0.0014457912626189369,0.0013078680640430124,0.0015837144611948613,408533.5583263735,0.001447630249591795
"88-221017","2022-10-17",1,"Portland, ME","Portland Water District (East End Wastewater Treatment Facility)",65000,3,846491.0647683616,793833.1560677967,908342.2644067798,0.0016434376061070777,0.001402068079911357,0.0018848071323027983,472275.6022271377,0.0015557159837537467
"88-221019","2022-10-19",1,"Portland, ME","Portland Water District (East End Wastewater Treatment Facility)",65000,3,325983.86360283685,263519.95445862884,385264.4034420804,0.0015779190825352255,0.0007074494346666791,0.002448388730403772,472275.6022271377,0.0015557159837537467
